film_title,year_released,rating,censor_rating,film_duration,genre
Tenet,2020,7.6,PG-13,2h 30min,"Action,Sci-Fi"
White Christmas,1954,7.6,Not Rated,2h,"Comedy,Musical,Romance"
Die Hard,1988,8.2,R,2h 12min,"Action,Thriller"
The Christmas Chronicles,2018,7.1,PG,1h 44min,"Adventure,Comedy,Family"
Sound of Metal,2019,7.8,R,1h 41min,"Drama,Music"
Jingle Jangle: A Christmas Journey,2020,6.5,PG,2h 2min,"Family,Fantasy,Musical"
The Grinch,2018,6.3,PG,1h 25min,"Animation,Comedy,Family"
The Santa Clause,1994,6.5,PG,1h 37min,"Comedy,Drama,Family"
Happiest Season,2020,6.7,PG-13,1h 42min,"Comedy,Drama,Romance"
It's a Wonderful Life,1946,8.6,PG,2h 10min,"Drama,Family,Fantasy"
A California Christmas,2020,5.8,PG-13,1h 46min,"Comedy,Drama,Romance"
How the Grinch Stole Christmas,2000,6.2,PG,1h 44min,"Comedy,Family,Fantasy"
Ma Rainey's Black Bottom,2020,7.3,R,1h 34min,"Drama,Music"
The Christmas Chronicles: Part Two,2020,6.0,PG,1h 52min,"Adventure,Comedy,Family"
Monster Hunter,2020,5.1,PG-13,1h 39min,"Action,Adventure,Fantasy"
Mulan,2020,5.6,PG-13,1h 55min,"Action,Adventure,Drama"
Archenemy,2020,5.0,Not Rated,1h 30min,"Action,Adventure"
The Santa Clause 3: The Escape Clause,2006,4.8,G,1h 32min,"Adventure,Comedy,Family"
Gremlins,1984,7.3,PG,1h 46min,"Comedy,Fantasy,Horror"
Joker,2019,8.5,R,2h 2min,"Crime,Drama,Thriller"
Uncle Frank,2020,7.2,R,1h 35min,"Comedy,Drama"
Don't Look Up,,,,,Comedy
Four Christmases,2008,5.7,PG-13,1h 28min,"Comedy,Drama,Romance"
The Trial of the Chicago 7,2020,7.8,R,2h 9min,"Drama,History,Thriller"
Possessor,2020,6.4,R,1h 43min,"Horror,Sci-Fi,Thriller"
Inception,2010,8.8,PG-13,2h 28min,"Action,Adventure,Sci-Fi"
News of the World,2020,,PG-13,1h 58min,"Action,Adventure,Drama"
The Wolf of Wall Street,2013,8.2,R,3h,"Biography,Crime,Drama"
After We Collided,2020,5.0,R,1h 45min,"Drama,Romance"
Triple 9,2016,6.3,R,1h 55min,"Action,Crime,Thriller"
Once Upon a Time... In Hollywood,2019,7.6,R,2h 41min,"Comedy,Drama"
The Shawshank Redemption,1994,9.3,R,2h 22min,Drama
The New Mutants,2020,5.3,PG-13,1h 34min,"Action,Horror,Sci-Fi"
Monsters of Man,2020,5.2,,2h 11min,Sci-Fi
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,PG-13,2h 58min,"Action,Adventure,Drama"
The Call,2020,7.1,,1h 52min,"Crime,Horror,Mystery"
Star Wars: Episode IX - The Rise of Skywalker,2019,6.6,PG-13,2h 21min,"Action,Adventure,Fantasy"
Parasite,2019,8.6,R,2h 12min,"Comedy,Drama,Thriller"
Interstellar,2014,8.6,PG-13,2h 49min,"Adventure,Drama,Sci-Fi"
Jingle All the Way,1996,5.6,PG,1h 29min,"Adventure,Comedy,Family"
Peppermint,2018,6.5,R,1h 41min,"Action,Drama,Thriller"
The Shape of Water,2017,7.3,R,2h 3min,"Adventure,Drama,Fantasy"
Soul,2020,7.8,PG,1h 40min,"Animation,Adventure,Comedy"
Emma.,2020,6.7,PG,2h 4min,"Comedy,Drama,Romance"
Bombshell,2019,6.8,R,1h 49min,"Biography,Drama"
Little Women,2019,7.8,PG,2h 15min,"Drama,Romance"
Run,2020,6.7,PG-13,1h 30min,"Horror,Mystery,Thriller"
1917,2019,8.3,R,1h 59min,"Drama,War"
Harry Potter and the Sorcerer's Stone,2001,7.6,PG,2h 32min,"Adventure,Family,Fantasy"
Wonder Woman,2017,7.4,PG-13,2h 21min,"Action,Adventure,Fantasy"
A Christmas Carol,2009,6.8,PG,1h 36min,"Animation,Drama,Family"
Coming 2 America,2021,,,,Comedy
Knives Out,2019,7.9,PG-13,2h 10min,"Comedy,Crime,Drama"
Untitled Spider-Man Sequel,2021,,,,"Action,Adventure,Sci-Fi"
Avengers: Endgame,2019,8.4,PG-13,3h 1min,"Action,Adventure,Drama"
Rose Island,2020,7.0,TV-14,1h 57min,"Adventure,Comedy,Drama"
Mission: Impossible 7,2021,,,,"Action,Adventure,Thriller"
Charm City Kings,2020,6.4,R,2h 5min,Drama
Wolfwalkers,2020,8.2,PG,1h 43min,"Animation,Adventure,Family"
365 Days,2020,3.3,TV-MA,1h 54min,"Drama,Romance"
Breach,2020,2.8,R,1h 32min,"Action,Sci-Fi"
Dune,2021,,PG-13,,"Adventure,Drama,Sci-Fi"
Outside the Wire,2021,,R,1h 54min,"Action,Sci-Fi"
Nobody,2021,,R,,"Action,Crime,Drama"
A Christmas Story,1983,7.9,PG,1h 33min,"Comedy,Family"
The Gentlemen,2019,7.8,R,1h 53min,"Action,Comedy,Crime"
Mortal Kombat,2021,,,,"Action,Adventure,Fantasy"
Safety,2020,6.8,PG,2h 2min,"Biography,Drama,Sport"
Wild Mountain Thyme,2020,5.4,PG-13,1h 42min,"Drama,Romance"
Honest Thief,2020,6.0,PG-13,1h 39min,"Action,Crime,Drama"
Nomadland,2020,7.7,R,1h 48min,Drama
Hillbilly Elegy,2020,6.7,R,1h 56min,Drama
The Holiday,2006,6.9,PG-13,2h 16min,"Comedy,Romance"
The Santa Clause 2,2002,5.6,G,1h 44min,"Comedy,Family,Fantasy"
Holidate,2020,6.1,TV-MA,1h 43min,"Comedy,Romance"
The Godfather,1972,9.2,R,2h 55min,"Crime,Drama"
Freaky,2020,6.4,R,1h 42min,"Comedy,Horror,Thriller"
Last Christmas,2019,6.5,PG-13,1h 43min,"Comedy,Drama,Romance"
Promising Young Woman,2020,6.3,R,1h 53min,"Comedy,Crime,Drama"
The Midnight Sky,2020,5.2,PG-13,2h 2min,"Drama,Fantasy,Sci-Fi"
Godmothered,2020,6.2,PG,1h 50min,"Comedy,Drama,Family"
I'm Your Woman,2020,6.1,R,2h,"Crime,Drama"
Fatman,2020,5.9,R,1h 40min,"Action,Comedy,Fantasy"
Let Them All Talk,2020,6.1,R,1h 53min,"Comedy,Drama"
Songbird,2020,4.4,PG-13,1h 24min,"Comedy,Drama,Romance"
Scrooged,1988,7.0,PG-13,1h 41min,"Comedy,Drama,Fantasy"
Greenland,2020,6.4,PG-13,1h 59min,"Action,Drama,Thriller"
Home Alone 2: Lost in New York,1992,6.8,PG,2h,"Adventure,Comedy,Crime"
Another Round,2020,8.0,Not Rated,1h 57min,"Comedy,Drama"
The Croods: A New Age,2020,7.0,PG,1h 35min,"Animation,Adventure,Comedy"
The Polar Express,2004,6.6,G,1h 40min,"Animation,Adventure,Comedy"
Klaus,2019,8.2,PG,1h 36min,"Animation,Adventure,Comedy"
National Lampoon's Christmas Vacation,1989,7.6,PG-13,1h 37min,Comedy
Mank,2020,7.2,R,2h 11min,"Biography,Comedy,Drama"
Elf,2003,7.0,PG,1h 37min,"Adventure,Comedy,Family"
Love Actually,2003,7.6,R,2h 15min,"Comedy,Drama,Romance"
Home Alone,1990,7.6,PG,1h 43min,"Comedy,Family"
Ava,2020,5.4,R,1h 36min,"Action,Crime,Drama"
Wonder Woman 1984,2020,6.9,PG-13,2h 31min,"Action,Adventure,Fantasy"
The Prom,2020,6.1,PG-13,2h 10min,"Comedy,Drama,Musical"
